# Title/abstract screening for the Paper 0 light-yield survey.
# auto_* is a crude keyword verdict; reviewed_* is what a human decided
# after reading, and is what the extraction step uses. A blank
# reviewed_decision means not yet reviewed.
arxiv_id,published,title,auto_decision,auto_reason,reviewed_decision,reviewed_reason
1912.08067v1,2019-12-16,Scintillation balloon for liquid scintillator base Neutrinoless double beta decay search experiments,exclude,organic or liquid scintillator,,
1912.11504v1,2019-12-24,Thermal Characterization of Tl$_2$LiYCl$_6$:Ce (TLYC),screen,abstract mentions a light yield -- read the full text,,
2001.01628v2,2020-01-02,Machine learning technique to improve anti-neutrino detection efficiency for the ISMRAN experiment,exclude,organic or liquid scintillator,,
2001.06672v1,2020-01-18,Electron and hole trapping in the Ce3+ and Pr3+ doped lutetium pyrosilicate scintillator crystals studied by electron paramagnetic resonance,screen,abstract mentions a light yield -- read the full text,,
2001.07518v2,2020-01-15,Value-assigned pulse shape discrimination for neutron detectors,screen,abstract mentions a light yield -- read the full text,,
2001.10825v2,2020-01-24,Slow Fluors for Effective Separation of Cherenkov Light in Liquid Scintillators,exclude,organic or liquid scintillator,,
2002.06415v1,2020-02-15,Optimization study of scintillator shape of electromagnetic calorimeter for Higgs factories,screen,abstract mentions a light yield -- read the full text,,
2003.01485v2,2020-03-03,Performance recovery of long CsI(Tl) scintillator crystals with APD-based readout,screen,abstract mentions a light yield -- read the full text,,
2003.04143v1,2020-03-06,Commissioning of the CALIFA Barrel Calorimeter of the R$^{3}$B Experiment at FAIR,exclude,abstract reports no light yield or output,,
2004.00370v1,2020-04-01,Operation and Calibration of a Highly Granular Hadron Calorimeter with SiPM-on-Tile Read-out,exclude,organic or liquid scintillator,,
2004.05066v3,2020-04-10,Effects of misalignment on response uniformity of SiPM-on-tile technology for highly granular calorimeters,exclude,organic or liquid scintillator,,
2005.02444v2,2020-05-05,Transmission of xenon scintillation light through PTFE,exclude,abstract reports no light yield or output,,
2005.05567v1,2020-05-12,AMoRE: A search for neutrinoless double-beta decay of 100Mo using low-temperature molybdenum-containing crystal detectors,exclude,abstract reports no light yield or output,,
2005.06025v1,2020-05-12,Neutron-$γ$ discrimination with organic scintillators: Intrinsic pulse shape and light yield contributions,exclude,organic or liquid scintillator,,
2005.09087v1,2020-05-18,Optical properties of YAG:Ce and GGG:Ce scintillation crystals irradiated with a high fluence proton beam,screen,abstract mentions a light yield -- read the full text,,
2005.11659v1,2020-05-24,Scintillation properties of $({\rm Zn}_{0.9} {\rm Pb}_{0.1})({\rm W}_{0.9} {\rm Mo}_{0.1}){\rm O}_4$ and $({\rm Zn}_{0.9} {\rm Cd}_{0.1})({\rm W}_{0.9} {\rm Mo}_{0.1}){\rm O}_4$ mixed crystals,screen,abstract mentions a light yield -- read the full text,,
2006.00173v3,2020-05-30,Characterization of water-based liquid scintillator for Cherenkov and scintillation separation,exclude,organic or liquid scintillator,,
2006.05827v2,2020-06-10,VUV Transmission of PTFE for Xenon-based Particle Detectors,exclude,abstract reports no light yield or output,,
2007.03921v1,2020-07-08,Light simulation in plastic scintillator strip with embedded wavelength shifting fiber,exclude,organic or liquid scintillator,,
2009.07217v1,2020-09-15,Low Energy Light Yield of Fast Plastic Scintillators,exclude,organic or liquid scintillator,,
2009.07393v1,2020-09-15,Scintillator light yield measurements with waveform digitizers,exclude,organic or liquid scintillator,,
2010.01704v1,2020-10-04,Proton Light Yield in Organic Scintillators using a Double Time-of-Flight Technique,exclude,organic or liquid scintillator,,
2010.14387v2,2020-10-27,Controlling helicity-dependent photocurrent in polycrystalline Sb$_2$Te$_2$Se topological insulator thin films at ambient temperature through wave-vector of and photothermal gradient due to polarized light,exclude,abstract reports no light yield or output,,
2011.01907v1,2020-11-03,"Comparative scintillation performance of EJ-309, EJ-276, and a novel organic glass",exclude,organic or liquid scintillator,,
2011.09859v1,2020-11-19,A novel polystyrene-based scintillator production process involving additive manufacturing,exclude,organic or liquid scintillator,,
2011.12924v2,2020-11-25,"Development, characterisation, and deployment of the SNO+ liquid scintillator",exclude,organic or liquid scintillator,,
2011.13656v1,2020-11-27,Characterization of cubic Li$_{2}$$^{100}$MoO$_4$ crystals for the CUPID experiment,exclude,abstract reports no light yield or output,,
2011.13806v1,2020-11-27,A CUPID Li$_{2}$$^{100}$MoO$_4$ scintillating bolometer tested in the CROSS underground facility,exclude,abstract reports no light yield or output,,
2101.02340v1,2021-01-07,Neutron Response of the EJ-254 Boron-Loaded Plastic Scintillator,exclude,organic or liquid scintillator,,
2101.03264v1,2021-01-09,Response of undoped cryogenic CsI to low-energy nuclear recoils,screen,abstract mentions a light yield -- read the full text,,
2101.06122v3,2021-01-15,Electron beam studies of light collection in a scintillating counter with embedded fibers,exclude,organic or liquid scintillator,,
2102.02951v2,2021-02-05,Design and Calibration of an Optically Segmented Single Volume Scatter Camera for Neutron Imaging,exclude,organic or liquid scintillator,,
2102.08499v5,2021-02-16,Test Beam Study of SiPM-on-Tile Configurations,screen,abstract mentions a light yield -- read the full text,,
2103.11267v1,2021-03-20,Advanced Inorganic Halide Ceramic Scintillators,screen,abstract mentions a light yield -- read the full text,,
2103.13106v2,2021-03-24,Scintillating properties of today available lead tungstate crystals,screen,abstract mentions a light yield -- read the full text,,
2104.07568v2,2021-04-15,"Crystal growth and optical properties of Ce-doped (La,Y)$_2$Si$_2$O$_7$ single crystal",screen,abstract mentions a light yield -- read the full text,,
2106.03773v2,2021-06-07,Development of very-thick transparent GEMs with wavelength-shifting capability for noble element TPCs,exclude,abstract reports no light yield or output,,
2106.10403v1,2021-06-19,Growth and Evaluation of Improved CsI:Tl and NaI:Tl Scintillators,exclude,abstract reports no light yield or output,,
2107.05725v1,2021-07-12,Proton light yield of fast plastic scintillators for neutron imaging,exclude,organic or liquid scintillator,,
2107.05752v1,2021-07-12,Simultaneous measurement of organic scintillator response to carbon and proton recoils,exclude,organic or liquid scintillator,,
2107.11571v1,2021-07-24,Performance of ZnSe-based scintillators at low temperatures,screen,abstract mentions a light yield -- read the full text,,
2108.13929v3,2021-08-31,Scintillation light increase of carbontetrafluoride gas at low temperature,screen,abstract mentions a light yield -- read the full text,,
2109.06819v2,2021-09-14,Development and characterization of a slow wavelength shifting coating for background rejection in liquid argon detectors,exclude,organic or liquid scintillator,,
2109.07362v1,2021-09-15,Performance evaluation of GAGG(Ce)/LFS scintillator + MPPC array readout with ASIC,screen,abstract mentions a light yield -- read the full text,,
2109.11963v2,2021-09-24,Geant4-based calibration of an organic liquid scintillator,exclude,organic or liquid scintillator,,
2110.01992v2,2021-10-05,"Comparative pulse shape discrimination study for Ca(Br, I)$_2$ scintillators using machine learning and conventional methods",screen,abstract mentions a light yield -- read the full text,,
2110.03306v1,2021-10-07,Scintillation characteristics of a NaI(Tl) crystal at low-temperature with silicon photomultiplier,screen,abstract mentions a light yield -- read the full text,,
2110.06618v1,2021-10-13,Response of the GAGG(Ce) scintillator to charged particles compared with the CsI(Tl) scintillator,screen,abstract mentions a light yield -- read the full text,,
2110.13482v1,2021-10-26,"Temperature dependence and quenching characteristics of (La, Gd)$_2$Si$_2$O$_7$ scintillators at various Ce concentrations",screen,abstract mentions a light yield -- read the full text,,
2111.03660v2,2021-11-05,Scintillator Tile Batch Test of CEPC AHCAL,screen,abstract mentions a light yield -- read the full text,,
2111.08845v1,2021-11-17,Performance Evaluation of Pulse Shape Discrimination Capable Organic Scintillators for Space Applications,exclude,organic or liquid scintillator,,
2112.04973v3,2021-12-09,Optimized scintillation strip design for the DANSS upgrade,exclude,organic or liquid scintillator,,
2112.04990v1,2021-12-09,The optical simulation model of the DarkSide-20k Veto detector,screen,abstract mentions a light yield -- read the full text,,
2112.10704v1,2021-12-20,Design and Characterization of an Optically-Segmented Single Volume Scatter Camera Module,exclude,organic or liquid scintillator,,
2202.07625v1,2022-02-15,Pulse-shape discrimination in water-based scintillators,exclude,organic or liquid scintillator,,
2202.09154v2,2022-02-18,Study of visible-light emission in pure and methane-doped liquid argon,screen,abstract mentions a light yield -- read the full text,,
2202.10111v1,2022-02-21,"Optical, luminescence, and scintillation properties of advanced ZnWO$_4$ crystal scintillators",exclude,abstract reports no light yield or output,,
2202.10961v3,2022-02-22,Additive manufacturing of fine-granularity optically-isolated plastic scintillator elements,exclude,organic or liquid scintillator,,
2203.13322v1,2022-03-24,Timing Properties of Blue-emitting Scintillating Fibers,screen,abstract mentions a light yield -- read the full text,,
2203.15923v2,2022-03-29,Dose rate effects in radiation-induced changes to phenyl-based polymeric scintillators,exclude,organic or liquid scintillator,,
2204.13747v2,2022-04-28,Optical properties of low background PEN structural components for the LEGEND-200 experiment,exclude,organic or liquid scintillator,,
2205.13876v4,2022-05-27,Performance of the SABRE detector module in a purely passive shielding,exclude,organic or liquid scintillator,,
2207.05496v1,2022-07-12,A high-performance custom photodetection system to probe the light yield enhancement in oriented crystals,screen,abstract mentions a light yield -- read the full text,,
2207.12982v1,2022-07-26,Scintillator ageing of the T2K near detectors from 2010 to 2021,exclude,organic or liquid scintillator,,
2209.02885v3,2022-09-07,Testing the Gallium Anomaly,screen,abstract mentions a light yield -- read the full text,,
2210.03876v1,2022-10-08,Measurement of proton light yield of water-based liquid scintillator,exclude,organic or liquid scintillator,,
2210.10083v2,2022-10-18,Wavelength-shifter coated polystyrene as an easy-to-build and low-cost plastic scintillator detector,exclude,organic or liquid scintillator,,
2212.04342v1,2022-12-08,"Development of a large-mass, low-threshold detector system with simultaneous measurements of athermal phonons and scintillation light",screen,abstract mentions a light yield -- read the full text,,
2212.11341v1,2022-12-21,Review of Novel Approaches to Organic Liquid Scintillators in Neutrino Physics,exclude,organic or liquid scintillator,,
2212.11515v3,2022-12-22,Reactor neutrino physics potentials of cryogenic pure-CsI crystal,screen,abstract mentions a light yield -- read the full text,,
2212.13054v3,2022-12-26,Developing a single phase liquid argon detector with SiPM readout,screen,abstract mentions a light yield -- read the full text,,
2301.04185v1,2023-01-10,Synthesis and processing of lithium-loaded plastic scintillators on the kilogram scale,exclude,organic or liquid scintillator,,
2303.03008v4,2023-03-06,Characterization of the performances of plastic commercial scintillators in cryogenic environments,exclude,organic or liquid scintillator,,
2303.16127v2,2023-03-28,$^6$Li-loaded liquid scintillators produced by direct dissolution of compounds in diisopropylnaphthalene (DIPN),exclude,organic or liquid scintillator,,
2305.17839v1,2023-05-29,Absolute light yield of the EJ-204 plastic scintillator,exclude,organic or liquid scintillator,,
2306.10820v1,2023-06-19,The SiFi-CC detector for beam range monitoring in proton therapy -- characterization of components and a prototype detector module,exclude,abstract reports no light yield or output,,
2307.06660v3,2023-07-13,Design of a mobile neutron spectrometer for the Laboratori Nazionali del Gran Sasso (LNGS),exclude,organic or liquid scintillator,,
2308.01148v1,2023-08-02,"Beam test, simulation, and performance evaluation of PbF$_2$ and PWO-UF crystals with SiPM readout for a semi-homogeneous calorimeter prototype with longitudinal segmentation",screen,abstract mentions a light yield -- read the full text,,
2308.01837v1,2023-08-03,Reduction of light output of plastic scintillator tiles during irradiation at cold temperatures and in low-oxygen environments,exclude,organic or liquid scintillator,,
2308.06759v1,2023-08-13,Measurement of the non-linearity in the gamma-ray response of the GAGG:Ce inorganic scintillator,screen,abstract mentions a light yield -- read the full text,,
2309.06341v2,2023-09-12,Event-by-Event Direction Reconstruction of Solar Neutrinos in a High Light-Yield Liquid Scintillator,exclude,organic or liquid scintillator,,
2309.06878v1,2023-09-13,Performance of a plastic scintillator developed using styrene monomer polymerization,exclude,organic or liquid scintillator,,
2309.07093v1,2023-09-13,Large Diameter Bulk Crystal Growth and Scintillation Characterization of Thallium-Based Ternary Halide Crystals for Detection and Imaging,exclude,abstract reports no light yield or output,,
2309.14968v1,2023-09-26,Fast emitting nanocomposites for high-resolution ToF-PET imaging based on multicomponent scintillators,exclude,organic or liquid scintillator,,
2310.00082v2,2023-09-29,Scintillation characteristics of the EJ-299-02H scintillator,exclude,organic or liquid scintillator,,
2310.00442v2,2023-09-30,SBC-SNOLAB scintillation system and SiPM implementation for dark matter searches,exclude,abstract reports no light yield or output,,
2310.08457v1,2023-10-12,A Plastic Scintillation Muon Veto for Sub-Kelvin Temperatures,exclude,organic or liquid scintillator,,
2311.00725v2,2023-10-31,Light-yield response of liquid scintillators using 2--6 MeV tagged neutrons,exclude,organic or liquid scintillator,,
2312.07957v3,2023-12-13,Scintillation characteristics of an undoped CsI crystal at low-temperature for dark matter search,screen,abstract mentions a light yield -- read the full text,,
2312.09293v1,2023-12-14,Performance of a Ton-scale Water-based Liquid Scintillator Detector,exclude,organic or liquid scintillator,,
2312.14790v3,2023-12-22,Production and optical characterisation of blended Polyethylene Terephthalate (PET)/Polyethylene Naphthalate (PEN) scintillator samples,exclude,organic or liquid scintillator,,
2401.00226v2,2023-12-30,The Intrinsic Energy Resolution of LaBr$_3$(Ce) Crystal for GECAM,screen,abstract mentions a light yield -- read the full text,,
2402.05026v5,2024-02-07,Characterization and Optimization of a Cryogenic Pure CsI Detector with Remarkable Light Yield and Unprecedented Energy Resolution for CLOVERS Experiment,screen,abstract mentions a light yield -- read the full text,,
2403.16927v1,2024-03-25,Enabling pulse shape discrimination with commercial ASICs,exclude,organic or liquid scintillator,,
2405.19573v1,2024-05-29,Performance of large-scale 6Li-doped pulse-shape discriminating plastic scintillators,exclude,organic or liquid scintillator,,
2407.08033v2,2024-07-10,Studies of Cherenkov Photon Production in PbF$_2$ Crystals using Proton Beams at Fermilab,exclude,abstract reports no light yield or output,,
2407.17800v2,2024-07-25,Design of a LYSO Crystal Electromagnetic Calorimeter for DarkSHINE Experiment,exclude,abstract reports no light yield or output,,
2408.01340v1,2024-08-02,On the origin of the light yield enhancement in polymeric composite scintillators loaded with dense nanoparticles,screen,abstract mentions a light yield -- read the full text,,
2408.11070v1,2024-08-17,Nonlinear scintillation effects in the intrinsic luminescence from Sc$_{1.318}$Y$_{0.655}$Si$_{1.013}$O$_{4.987}$ crystal excited by electrons and gamma-quanta,screen,abstract mentions a light yield -- read the full text,,
2408.11973v1,2024-08-21,Dual-readout calorimetry with homogeneous crystals,exclude,abstract reports no light yield or output,,
2409.10823v1,2024-09-17,Ultraviolet cross-luminescence in ternary chlorides of alkali and alkaline-earth metals,screen,abstract mentions a light yield -- read the full text,,
2409.17002v1,2024-09-25,Nonreciprocal scintillation using one-dimensional magneto-optical photonic crystals,screen,abstract mentions a light yield -- read the full text,,
2410.07141v1,2024-10-09,Large-scale self-assembled nanophotonic scintillators for X-ray imaging,screen,abstract mentions a light yield -- read the full text,,
2410.09371v1,2024-10-12,Development and performance evaluation of a thin GAGG:Ce scintillator plate for high resolution synchrotron radiation X-ray imaging,screen,abstract mentions a light yield -- read the full text,,
2410.12161v1,2024-10-16,Segmented readout for Cherenkov time-of-flight positron emission tomography detectors based on bismuth germanate,exclude,abstract reports no light yield or output,,
2410.12535v1,2024-10-16,Radiation damage and recovery of plastic scintillators under ultra-high dose rate 200 MeV electrons at CERN CLEAR facility,exclude,organic or liquid scintillator,,
2410.22863v2,2024-10-30,Impact of extreme ultraviolet radiation on the scintillation of pure and xenon-doped liquid argon,screen,abstract mentions a light yield -- read the full text,,
2411.05256v2,2024-11-08,Radiopurity measurements of liquid scintillator for the COSINE-100 Upgrade,exclude,organic or liquid scintillator,,
2411.17259v1,2024-11-26,Resurfaced CsPbBr3 Nanocrystals Enable Free Radical Thermal Polymerization of Efficient Ultrafast Polyvinyl Styrene Nanocomposite Scintillators,exclude,organic or liquid scintillator,,
2412.02516v2,2024-12-03,Ultrafast Superradiant Scintillation from Weakly Confined CsPbBr3 Nanocrystals,screen,abstract mentions a light yield -- read the full text,,
2412.10174v3,2024-12-13,Beam test results of a fully 3D-printed plastic scintillator particle detector prototype,exclude,organic or liquid scintillator,,
2412.15944v2,2024-12-20,Study of the Radiation Hardness of the ATLAS Tile Calorimeter Optical Instrumentation with Run 2 data,exclude,organic or liquid scintillator,,
2412.18211v1,2024-12-24,Alleviating the trade-off between coincidence time resolution and sensitivity using scalable TOF-DOI detectors,exclude,abstract reports no light yield or output,,
2503.13013v2,2025-03-17,A custom experimental setup for scintillator characterization: application to a Ce-doped GAGG crystal,screen,abstract mentions a light yield -- read the full text,,
2504.16421v3,2025-04-23,Development of the Beam Monitor Detectors for the Low-E Beamline at the CERN SPS H2 Line,screen,abstract mentions a light yield -- read the full text,,
2505.01961v1,2025-05-04,Pre-study of a Li2MoO4 based bolometer for 100Mo neutrinoless double beta decay experiment in China,screen,abstract mentions a light yield -- read the full text,,
2505.05696v2,2025-05-09,A prototype reactor-antineutrino detector based on $^6$Li-doped pulse-shaping-discriminating plastic scintillator,exclude,organic or liquid scintillator,,
2505.06929v1,2025-05-11,Gamma-ray and high-energy X-ray detection with large area scintillating crystals: a hands-on review,exclude,abstract reports no light yield or output,,
2507.02429v1,2025-07-03,COSINUS -- a model-independent challenge of the DAMA/LIBRA dark matter claim with cryogenic NaI detectors operated in a new low-background facility,exclude,abstract reports no light yield or output,,
2507.08663v3,2025-07-11,A Neutron Sensitive Detector Using 3D-Printed Scintillators,exclude,organic or liquid scintillator,,
2507.09765v2,2025-07-13,CRYSP: a Total-Body PET based on cryogenic cesium iodide crystals,screen,abstract mentions a light yield -- read the full text,,
2507.18893v2,2025-07-25,Development and performance evaluation of a water-based liquid scintillator tracking detector with wavelength-shifting fiber readout,exclude,organic or liquid scintillator,,
2508.15513v1,2025-08-21,Modeling of Light Production in Inorganic Scintillators,screen,abstract mentions a light yield -- read the full text,,
2508.19568v3,2025-08-27,"Molecular structure, electric property, and scintillation and quenching of liquid scintillators",exclude,organic or liquid scintillator,,
2509.01247v1,2025-09-01,A new diffuse reflector filament for additive manufacturing of 3D printing finely-segmented plastic scintillator,exclude,organic or liquid scintillator,,
2509.07156v1,2025-09-08,The Integrating Miniature Piggyback for Impulsive Solar Hard X-rays (IMPISH): a spectrometer for the GRIPS-2 balloon campaign,exclude,abstract reports no light yield or output,,
2509.17528v1,2025-09-22,Performance of a Large-Volume Cryogenic Pure CsI Detector for CEνNS and Low-Energy Rare-Event Searches,screen,abstract mentions a light yield -- read the full text,,
2509.20390v4,2025-09-22,Optical characterization of wavelength-shifting and scintillating-wavelength-shifting fibers,screen,abstract mentions a light yield -- read the full text,,
2509.26416v3,2025-09-30,Scintillating properties of Cs${_2}$ZrCl${_6}$ crystals in the temperature range of 5-300 K,screen,abstract mentions a light yield -- read the full text,,
2510.06665v4,2025-10-08,Doping of a Borexino-like Liquid Scintillator with Tellurium-Diols,exclude,organic or liquid scintillator,,
2510.25272v1,2025-10-29,Characterization of the Li$_2$WO$_4$ crystal as a cryogenic scintillating calorimeter,exclude,abstract reports no light yield or output,,
2511.20210v1,2025-11-25,Drastic reduction of the slow scintillation component in highly luminescent Ce3+ and Mg2+ doped Lu2.5Gd0.5Ga2Al3O12 garnet powders,screen,abstract mentions a light yield -- read the full text,,
2512.04965v3,2025-12-04,Characterization of thin optical filters for high purity Cherenkov light readout from scintillating crystals,screen,abstract mentions a light yield -- read the full text,,
2512.08593v1,2025-12-09,Study of a small-scale gamma-ray detection system employing Compton scattering with a monolithic CeBr3 crystal and segmented photodetector array,exclude,abstract reports no light yield or output,,
2512.09482v1,2025-12-10,Commissioning of a mobile neutron spectrometer for LNGS,exclude,organic or liquid scintillator,,
2512.15968v1,2025-12-17,Measurement of Light Yield Response of Gd-compatible Water-based Liquid Scintillator with the Brookhaven 1-ton testbed,exclude,organic or liquid scintillator,,
2512.23612v1,2025-12-29,High-resolution 3D-printed plastic scintillators with tertiary dye,exclude,organic or liquid scintillator,,
2601.10879v2,2026-01-15,Stacked geometry concept for CosmicWatch based muon detectors in coincidence mode,exclude,organic or liquid scintillator,,
2602.09836v2,2026-02-10,Conceptual Design of a Novel Highly Granular Crystal Electromagnetic Calorimeter for Future Higgs Factories,exclude,abstract reports no light yield or output,,
2602.14829v1,2026-02-16,High-precision measurement of $^{215}$Po half-life via delayed-coincidence analysis,exclude,abstract reports no light yield or output,,
2602.16297v2,2026-02-18,Characterization of an MPPC-Based Scintillator Telescope and Measurement of Cosmic Muon Angular Distribution,exclude,organic or liquid scintillator,,
2603.06429v2,2026-03-06,"Comprehensive characterization of a YAG:Ce scintillator: light yield, alpha quenching and pulse-shape discrimination",screen,abstract mentions a light yield -- read the full text,,
2603.08167v1,2026-03-09,SiPM non-linearity studies in beam tests with scintillating crystals,exclude,abstract reports no light yield or output,,
2603.25078v1,2026-03-26,Development of a one-dimensional position sensitive detector for Compton X-ray polarimeters,exclude,organic or liquid scintillator,,
2603.25974v1,2026-03-26,A New Concept of Liquid Xenon Time Projection Chamber for Medical Imaging,exclude,abstract reports no light yield or output,,
2604.14060v2,2026-04-15,Observation of light production by charged particles in WLS fibers,screen,abstract mentions a light yield -- read the full text,,
2604.25946v1,2026-04-17,Resolution Studies for Axion Searches with CUPID-0,exclude,abstract reports no light yield or output,,
2604.26033v1,2026-04-28,A new diffuse reflector filament for additive manufacturing of 3D printing finely-segmented plastic scintillator,exclude,organic or liquid scintillator,,
2604.26090v1,2026-04-28,Machine Learning Enables Real-Time Waveform Decomposition for Dual-Readout Calorimetry,exclude,abstract reports no light yield or output,,
2605.12861v1,2026-05-13,Ultraviolet plastic scintillators based on naphthalene-doped polystyrene and polyvinyltoluene,exclude,organic or liquid scintillator,,
2605.28414v1,2026-05-27,Performance evaluation of GYGAG crystals for neutrinoless double beta decay search,screen,abstract mentions a light yield -- read the full text,,
2606.16007v1,2026-06-14,Dosimetric characterization of a nanophotonic scintillator and applications to real-time in-vivo total body irradiation dosimetry,screen,abstract mentions a light yield -- read the full text,,
2606.21299v1,2026-06-19,Characterization of GaN:Si and ZnO:Ga for position-resolved fast timing applications,exclude,organic or liquid scintillator,,
2607.00112v1,2026-06-30,Fast and bright scintillators for ultrafast materials dynamics using 4th generation synchrotron,screen,abstract mentions a light yield -- read the full text,,
2607.02538v1,2026-06-22,Tunable Light Scattering in Cast Organic Scintillators via BaSO$_4$ Nanoparticle Doping: A Short Summary,exclude,organic or liquid scintillator,,
2607.04944v1,2026-07-06,Detection of scintillation light in noble gases with wavelength-shifting optical fibers,exclude,abstract reports no light yield or output,,
2607.21996v2,2026-07-24,"Gamma spectrometry with CsI(Tl), NaI(Tl) and CdWO4 scintillation crystals using a silicon photomultiplier",exclude,abstract reports no light yield or output,,
2608.02012v1,2026-08-03,Performance and prospects of polyurethane-based scintillators for neutron and gamma radiation detection,exclude,organic or liquid scintillator,,
2608.03359v2,2026-08-04,"Organic liquid scintillator neutrino detector experiment, theoretical modeling, and computational simulation",exclude,organic or liquid scintillator,,
2608.11303v1,2026-08-11,Temperature-Dependent Performance of NaI(Tl) Crystal with Dual-Channel SiPM Readout for Low-Mass Dark Matter Searches,screen,abstract mentions a light yield -- read the full text,,
2608.11678v1,2026-08-12,Development and Initial Performance of an Upgraded NaI(Tl) Crystal Encapsulation for COSINE-100U,exclude,organic or liquid scintillator,,
2608.14959v1,2026-08-15,Development of a 10 mol% Rubidium-doped CsI Crystal for $^{87}$Rb Beta-Spectroscopy and Sterile Neutrino Searches,screen,abstract mentions a light yield -- read the full text,,
2608.21171v1,2026-08-21,Preventing quart-NaI adhesion in Bridgman growth using ammonium iodide,screen,abstract mentions a light yield -- read the full text,,
2608.21397v2,2026-08-04,Optical characterization and ionizing-radiation response of the BCF-20XL scintillating-wavelength-shifting fiber,screen,abstract mentions a light yield -- read the full text,,
2609.07385v1,2026-09-07,Review of Hybrid and Opaque Scintillator Technologies Advancing Neutrino and Dark Matter Detectors,exclude,organic or liquid scintillator,,
2609.09640v1,2026-09-09,Spectral Discrimination of Deposited Gamma-Ray Energies in a Simulated CeBr$_3$ Scintillator,screen,abstract mentions a light yield -- read the full text,,
2609.10116v1,2026-09-09,Development of Ultrafast and Radiation-Hard GAGG for the Next-Generation of High-Energy Physics Calorimeters,screen,abstract mentions a light yield -- read the full text,,
9904004v1,1999-04-05,Extruded Plastic Scintillation Detectors,exclude,organic or liquid scintillator,,
9907018v1,1999-07-13,Measurements of the radiation hardness of selected scintillating and light guide fiber materials,screen,abstract mentions a light yield -- read the full text,,
9907019v1,1999-07-13,A Fiber Detector Radiation Hardness Test,screen,abstract mentions a light yield -- read the full text,,
