# Keyword scan of reporting practice. UPPER BOUNDS: a paper counts as
# mentioning something if the word appears anywhere, including about
# other people's crystals. Produced by scripts/scan_reporting.py.
arxiv_id,klass,title,surface,wrapping,lce,optical_sim,lce_corrected
1801.07909v2,none,First scintillating bolometer tests of a CLYMENE R&D on Li$_2$MoO$_4$ scintillators towards a large-scale double-beta decay experiment,true,true,false,false,false
1802.08247v1,detected,Quality Assurance on Un-Doped CsI Crystals for the Mu2e Experiment,false,true,false,true,false
1806.02461v2,absolute,Optimisation of the scintillation light collection and uniformity for the SoLid experiment,true,true,true,true,true
1807.06390v1,absolute,"Ce-doped Gd${}_{3}$Al${}_{2}$Ga${}_{3}$O${}_{12}$ scintillator for compact, effective and high time resolution detector of the fast neutrons",false,true,false,true,false
1809.10840v2,detected,Characterization and Performance of PADME's Cherenkov-Based Small-Angle Calorimeter,true,true,true,true,true
1904.03640v2,absolute,Pulse-shape discrimination potential of new scintillator material: La-GPS:Ce,false,false,false,true,false
1904.09362v1,absolute,GaAs as a bright cryogenic scintillator for the direct dark matter detection,true,true,false,false,false
1906.09296v2,none,Production and characterization of a PbMoO$_4$ cryogenic detector from archaeological Pb,true,true,false,false,false
1907.10856v3,absolute,Characterization of Light Production and Transport in Tellurium Dioxide Crystals,true,false,true,true,true
1909.02994v1,relative,The CUPID-Mo experiment for neutrinoless double-beta decay: performance and prospects,true,true,true,true,true
1911.02076v1,absolute,Advanced High-Performance Large Diameter Cs2HfCl6 (CHC) and Mixed Halides Scintillator,true,true,true,false,false
1911.03611v1,absolute,Thallium Strontium Iodide: A High Efficiency Scintillator for Gamma-ray Detection,true,true,false,false,false
1911.13217v1,none,Na-based crystal scintillators for next-generation rare event searches,false,true,false,false,false
1912.11504v1,absolute,Thermal Characterization of Tl$_2$LiYCl$_6$:Ce (TLYC),false,false,false,false,false
2001.06672v1,absolute,Electron and hole trapping in the Ce3+ and Pr3+ doped lutetium pyrosilicate scintillator crystals studied by electron paramagnetic resonance,true,false,false,false,false
2001.07518v2,none,Value-assigned pulse shape discrimination for neutron detectors,false,false,false,true,false
2002.06415v1,none,Optimization study of scintillator shape of electromagnetic calorimeter for Higgs factories,false,true,false,true,false
2003.01485v2,none,Performance recovery of long CsI(Tl) scintillator crystals with APD-based readout,true,false,true,false,false
2005.09087v1,none,Optical properties of YAG:Ce and GGG:Ce scintillation crystals irradiated with a high fluence proton beam,true,false,false,false,false
2005.11659v1,relative,Scintillation properties of $({\rm Zn}_{0.9} {\rm Pb}_{0.1})({\rm W}_{0.9} {\rm Mo}_{0.1}){\rm O}_4$ and $({\rm Zn}_{0.9} {\rm Cd}_{0.1})({\rm W}_{0.9} {\rm Mo}_{0.1}){\rm O}_4$ mixed crystals,true,true,false,true,false
2101.03264v1,absolute,Response of undoped cryogenic CsI to low-energy nuclear recoils,false,true,false,false,false
2102.08499v5,absolute,Test Beam Study of SiPM-on-Tile Configurations,true,true,false,true,false
2103.11267v1,absolute,Advanced Inorganic Halide Ceramic Scintillators,false,false,false,false,false
2103.13106v2,absolute,Scintillating properties of today available lead tungstate crystals,true,false,true,true,true
2104.07568v2,absolute,"Crystal growth and optical properties of Ce-doped (La,Y)$_2$Si$_2$O$_7$ single crystal",true,true,false,false,false
2107.11571v1,none,Performance of ZnSe-based scintillators at low temperatures,true,false,false,false,false
2108.13929v3,none,Scintillation light increase of carbontetrafluoride gas at low temperature,false,false,false,false,false
2109.07362v1,none,Performance evaluation of GAGG(Ce)/LFS scintillator + MPPC array readout with ASIC,true,true,true,true,true
2110.01992v2,absolute,"Comparative pulse shape discrimination study for Ca(Br, I)$_2$ scintillators using machine learning and conventional methods",true,false,false,true,false
2110.03306v1,none,Scintillation characteristics of a NaI(Tl) crystal at low-temperature with silicon photomultiplier,false,true,false,false,false
2110.06618v1,absolute,Response of the GAGG(Ce) scintillator to charged particles compared with the CsI(Tl) scintillator,false,true,true,false,false
2110.13482v1,absolute,"Temperature dependence and quenching characteristics of (La, Gd)$_2$Si$_2$O$_7$ scintillators at various Ce concentrations",true,true,false,false,false
2111.03660v2,none,Scintillator Tile Batch Test of CEPC AHCAL,true,true,false,false,false
2112.04990v1,absolute,The optical simulation model of the DarkSide-20k Veto detector,true,true,true,true,true
2202.09154v2,absolute,Study of visible-light emission in pure and methane-doped liquid argon,false,false,false,true,false
2203.13322v1,absolute,Timing Properties of Blue-emitting Scintillating Fibers,true,true,false,true,false
2207.05496v1,none,A high-performance custom photodetection system to probe the light yield enhancement in oriented crystals,true,false,false,false,false
2209.02885v3,absolute,Testing the Gallium Anomaly,true,false,true,false,false
2212.04342v1,none,"Development of a large-mass, low-threshold detector system with simultaneous measurements of athermal phonons and scintillation light",true,false,true,true,true
2212.11515v3,detected,Reactor neutrino physics potentials of cryogenic pure-CsI crystal,false,true,false,false,false
2212.13054v3,detected,Developing a single phase liquid argon detector with SiPM readout,false,true,false,true,false
2308.01148v1,detected,"Beam test, simulation, and performance evaluation of PbF$_2$ and PWO-UF crystals with SiPM readout for a semi-homogeneous calorimeter prototype with longitudinal segmentation",true,false,false,true,false
2308.06759v1,absolute,Measurement of the non-linearity in the gamma-ray response of the GAGG:Ce inorganic scintillator,true,true,false,false,false
2312.07957v3,detected,Scintillation characteristics of an undoped CsI crystal at low-temperature for dark matter search,true,true,true,false,false
2401.00226v2,relative,The Intrinsic Energy Resolution of LaBr$_3$(Ce) Crystal for GECAM,true,true,false,true,false
2402.05026v5,relative,Characterization and Optimization of a Cryogenic Pure CsI Detector with Remarkable Light Yield and Unprecedented Energy Resolution for CLOVERS Experiment,true,true,true,true,true
2408.01340v1,none,On the origin of the light yield enhancement in polymeric composite scintillators loaded with dense nanoparticles,true,false,false,true,false
2408.11070v1,absolute,Nonlinear scintillation effects in the intrinsic luminescence from Sc$_{1.318}$Y$_{0.655}$Si$_{1.013}$O$_{4.987}$ crystal excited by electrons and gamma-quanta,true,false,false,true,false
2409.10823v1,absolute,Ultraviolet cross-luminescence in ternary chlorides of alkali and alkaline-earth metals,true,true,false,false,false
2409.17002v1,absolute,Nonreciprocal scintillation using one-dimensional magneto-optical photonic crystals,false,false,true,false,false
2410.07141v1,none,Large-scale self-assembled nanophotonic scintillators for X-ray imaging,true,true,false,false,false
2410.09371v1,absolute,Development and performance evaluation of a thin GAGG:Ce scintillator plate for high resolution synchrotron radiation X-ray imaging,true,false,false,false,false
2410.22863v2,none,Impact of extreme ultraviolet radiation on the scintillation of pure and xenon-doped liquid argon,true,true,false,true,false
2412.02516v2,absolute,Ultrafast Superradiant Scintillation from Weakly Confined CsPbBr3 Nanocrystals,false,false,false,true,false
2503.13013v2,absolute,A custom experimental setup for scintillator characterization: application to a Ce-doped GAGG crystal,true,true,false,true,false
2504.16421v3,absolute,Development of the Beam Monitor Detectors for the Low-E Beamline at the CERN SPS H2 Line,false,false,false,false,false
2505.01961v1,none,Pre-study of a Li2MoO4 based bolometer for 100Mo neutrinoless double beta decay experiment in China,true,true,false,false,false
2507.09765v2,absolute,CRYSP: a Total-Body PET based on cryogenic cesium iodide crystals,true,true,false,true,false
2508.15513v1,relative,Modeling of Light Production in Inorganic Scintillators,true,false,false,false,false
2509.17528v1,detected,Performance of a Large-Volume Cryogenic Pure CsI Detector for CEνNS and Low-Energy Rare-Event Searches,true,true,true,true,true
2509.20390v4,none,Optical characterization of wavelength-shifting and scintillating-wavelength-shifting fibers,true,false,true,false,false
2509.26416v3,absolute,Scintillating properties of Cs${_2}$ZrCl${_6}$ crystals in the temperature range of 5-300 K,true,true,true,true,true
2511.20210v1,relative,Drastic reduction of the slow scintillation component in highly luminescent Ce3+ and Mg2+ doped Lu2.5Gd0.5Ga2Al3O12 garnet powders,true,true,false,true,false
2512.04965v3,absolute,Characterization of thin optical filters for high purity Cherenkov light readout from scintillating crystals,true,true,true,true,true
2603.06429v2,none,"Comprehensive characterization of a YAG:Ce scintillator: light yield, alpha quenching and pulse-shape discrimination",false,true,true,true,true
2604.14060v2,absolute,Observation of light production by charged particles in WLS fibers,true,false,false,true,false
2605.28414v1,absolute,Performance evaluation of GYGAG crystals for neutrinoless double beta decay search,true,true,false,true,false
2606.16007v1,none,Dosimetric characterization of a nanophotonic scintillator and applications to real-time in-vivo total body irradiation dosimetry,false,false,false,false,false
2607.00112v1,absolute,Fast and bright scintillators for ultrafast materials dynamics using 4th generation synchrotron,false,false,false,false,false
2608.11303v1,detected,Temperature-Dependent Performance of NaI(Tl) Crystal with Dual-Channel SiPM Readout for Low-Mass Dark Matter Searches,false,true,true,false,false
2608.14959v1,none,Development of a 10 mol% Rubidium-doped CsI Crystal for $^{87}$Rb Beta-Spectroscopy and Sterile Neutrino Searches,true,true,false,false,false
2608.21171v1,absolute,Preventing quart-NaI adhesion in Bridgman growth using ammonium iodide,true,true,false,false,false
2608.21397v2,none,Optical characterization and ionizing-radiation response of the BCF-20XL scintillating-wavelength-shifting fiber,false,false,false,false,false
2609.09640v1,absolute,Spectral Discrimination of Deposited Gamma-Ray Energies in a Simulated CeBr$_3$ Scintillator,false,true,false,true,false
2609.10116v1,absolute,Development of Ultrafast and Radiation-Hard GAGG for the Next-Generation of High-Energy Physics Calorimeters,true,true,true,true,true
