#class tools::wcsv::ntuple
#title Per-event scintillation tallies
#separator 44
#vector_separator 59
#column int event
#column double edep_keV
#column int photons_generated
#column int photons_detected
#column double first_detection_ns
#column double mean_detection_ns
151,662,76,46,0.905356,1.758
152,662,27,13,0.998117,1.44085
153,25.5374,0,0,-1,-1
154,662,9,5,0.919685,2.85134
155,390.613,32,21,1.01277,1.45986
156,302.506,4,1,0.869236,0.869236
157,662,62,32,1.06009,4.87905
158,209.788,7,5,0.881977,4.33093
159,662,42,16,0.980792,1.41142
160,662,47,28,0.985202,4.0929
161,662,18,11,1.03513,1.18451
162,274.671,10,7,0.815588,1.81687
163,662,26,11,1.02325,3.50558
164,471.577,48,25,1.01078,3.81247
165,662,39,24,0.899528,5.43438
166,662,10,2,0.99726,3.62413
167,208.356,6,2,0.925121,2.25196
168,0,0,0,-1,-1
169,306.906,10,8,0.838799,2.51807
170,0,0,0,-1,-1
171,662,44,21,0.984611,3.01446
172,662,57,36,0.857541,2.75799
173,662,14,9,1.03625,1.81464
174,466.76,33,11,0.837724,4.86124
175,662,23,11,0.984778,1.21727
176,237.324,1,1,1.10886,1.10886
177,662,49,25,0.932409,2.58064
178,662,100,57,1.01653,2.96617
179,140.065,1,0,-1,-1
180,662,33,20,0.811611,6.04709
181,662,47,30,0.915095,2.4173
182,662,65,39,0.987194,2.76616
183,264.519,1,1,0.998259,0.998259
184,662,30,18,0.900189,3.92566
185,662,30,18,0.967059,3.09603
186,662,34,23,1.01697,3.16694
187,662,13,8,0.935536,1.2575
188,162.84,2,2,0.874391,1.30533
189,32.7531,0,0,-1,-1
190,423.701,17,13,0.882276,3.04813
191,662,21,10,0.941295,3.14859
192,662,38,20,1.00883,2.81839
193,662,94,44,0.832045,2.9767
194,662,43,15,1.59998,5.5769
195,662,41,22,0.819322,4.52853
196,471.648,60,30,0.98506,2.92006
197,662,15,4,0.887863,1.30562
198,662,15,12,0.933203,3.1761
199,662,21,7,1.04371,2.77951
200,0,0,0,-1,-1
201,0,0,0,-1,-1
202,662,76,29,0.979425,4.0055
203,662,102,58,0.980057,2.47503
204,288.349,8,3,1.0506,9.49358
205,159.916,4,2,1.00815,5.99011
206,662,68,42,0.919941,3.58845
207,0,0,0,-1,-1
208,662,55,29,0.840278,4.13526
209,0,0,0,-1,-1
210,295.017,12,6,1.01612,1.40298
211,662,32,22,0.880551,2.46321
212,662,11,11,0.866625,3.79219
213,662,44,28,0.942945,3.41137
214,662,57,30,0.977807,2.20194
215,662,22,15,0.893884,1.59352
216,662,6,2,1.45737,4.99157
217,662,28,17,0.914557,2.01205
218,0,0,0,-1,-1
219,31.3743,0,0,-1,-1
220,279.485,10,3,1.08993,1.19713
221,243.503,13,8,1.01676,1.13857
222,662,64,33,0.975987,3.95226
223,143.999,4,2,1.10261,5.88185
224,0,0,0,-1,-1
225,0,0,0,-1,-1
226,662,36,16,0.980146,4.78794
227,662,27,15,0.997609,3.30277
228,662,28,9,0.973432,6.78358
229,662,43,25,0.982919,2.03813
230,0,0,0,-1,-1
231,662,58,35,0.847416,1.59269
232,662,15,12,0.946642,2.97233
233,201.96,2,2,1.00143,1.10029
234,20.308,0,0,-1,-1
235,175.043,2,2,0.85358,2.22069
236,662,49,25,0.898424,2.43572
237,662,12,4,1.14121,1.194
238,662,53,26,0.988327,2.08119
239,662,7,3,1.07392,2.25917
240,662,42,16,1.03623,5.28033
241,662,50,27,0.926978,2.9594
242,662,57,30,0.913141,3.06406
243,662,57,33,0.887996,3.38216
244,662,39,19,0.879746,2.66377
245,662,7,3,1.05503,3.885
246,662,39,21,1.01411,2.66937
247,0,0,0,-1,-1
248,0,0,0,-1,-1
249,452.053,57,28,1.01029,2.28196
250,662,50,33,0.90342,3.11252
251,662,104,53,0.951605,5.17243
252,662,58,24,0.942287,2.49875
253,662,56,30,0.992096,2.96142
254,662,56,22,0.797269,5.70705
255,662,92,52,1.00755,2.84957
256,662,91,50,0.964254,3.44481
257,662,56,30,0.973195,1.64189
258,370.808,33,15,1.03353,5.79827
259,0,0,0,-1,-1
260,662,23,12,0.955821,1.03996
261,662,52,31,0.908382,2.40562
262,662,66,27,1.03566,2.35248
263,0,0,0,-1,-1
264,662,30,19,1.00977,1.6357
265,662,99,50,0.986128,5.10844
266,662,33,14,0.957717,7.01988
267,0,0,0,-1,-1
268,662,35,22,0.982131,2.25333
269,662,41,24,0.971911,3.31359
270,662,28,14,0.836294,3.6132
271,662,41,27,0.985691,4.79913
272,662,96,50,0.846766,5.48365
273,662,137,58,0.935206,3.84604
274,662,67,20,0.980238,2.28668
275,0,0,0,-1,-1
276,87.7654,0,0,-1,-1
277,662,27,11,0.959205,4.42433
