# NaI(Tl) attenuation length AS IMPLEMENTED IN A PUBLISHED GEANT4 MODEL,
# digitised from the CORRECTED Fig. 1 (left panel, blue dashed) of the corrigendum
#   J. M. C. Brown, Appl. Radiat. Isot. 194 (2023) 110721,
#   doi:10.1016/j.apradiso.2023.110721
#   PDF sha256 4a00635cb946554af61d1195e5a21f217bc587082dd09a54e4d0a038e5f2a7cd
# which replaces Fig. A11 of
#   J. M. C. Brown, Appl. Radiat. Isot. 168 (2021) 109368,
#   doi:10.1016/j.apradiso.2020.109368; preprint arXiv:1908.04565.
# The figure as first printed is digitised in
#   brown2021_fig_a11_as_printed_nai_attenuation.csv
# and is kept only to document the size of the correction.
#
# This is NOT a measurement. It is the model one published simulation fed to
# Geant4, recorded here so that it can be compared with the measurement in
# mao2008_nai_transmittance.csv. It matters because the parameter compilation
# that supplies NaI(Tl) to other Geant4 users (Miller et al., IEEE TNS 72
# (2025) 197) takes its NaI(Tl) optical data from this work. Brown's Table A3
# (Table 1 of the corrigendum) attributes the NaI(Tl) row, absorption length
# included, to Mao et al. (2008); how the curve was derived from that
# transmittance measurement is not stated.
#
# Axes calibrated from the grid lines (rms residual 0.52 px in
# energy, 0.28 px in log length); the left frame lands on 1.0 eV
# to -0.25 px. Stroke 4 px on a log axis: half-
# thickness 4.1 %. Steep parts traced row-wise.
# Generated by scripts/digitise_brown_corrigendum.py.
wavelength_nm,energy_eV,attenuation_length_mm
381.31,3.2515,224.7
382.26,3.2434,224.7
383.22,3.2353,227.0
384.18,3.2272,231.6
385.15,3.2192,238.7
386.12,3.2111,243.6
387.09,3.2030,248.5
388.07,3.1949,253.6
389.06,3.1868,256.1
390.05,3.1787,253.6
394.06,3.1463,283.3
395.08,3.1382,283.3
396.10,3.1301,286.1
397.12,3.1221,286.1
398.16,3.1140,292.0
399.19,3.1059,297.9
400.24,3.0978,297.9
401.28,3.0897,304.0
402.34,3.0816,307.0
403.40,3.0735,307.0
404.46,3.0654,307.0
405.53,3.0573,307.0
410.97,3.0169,329.5
412.08,3.0088,329.5
413.19,3.0007,329.5
414.30,2.9926,336.2
415.43,2.9845,339.6
416.56,2.9764,339.6
417.69,2.9683,339.6
418.83,2.9602,343.0
419.98,2.9521,346.5
421.14,2.9440,350.0
422.30,2.9359,353.5
429.40,2.8874,371.8
430.60,2.8793,368.0
431.82,2.8712,368.0
433.04,2.8631,375.5
434.27,2.8550,371.8
435.50,2.8469,375.5
436.74,2.8388,375.5
437.99,2.8308,379.3
439.25,2.8227,383.2
440.51,2.8146,383.2
441.78,2.8065,383.2
443.06,2.7984,391.0
444.34,2.7903,387.0
450.88,2.7498,402.9
452.21,2.7417,407.0
453.55,2.7337,411.1
454.89,2.7256,411.1
456.25,2.7175,411.1
457.61,2.7094,415.3
458.98,2.7013,423.7
460.36,2.6932,423.7
461.75,2.6851,423.7
463.14,2.6770,428.0
464.55,2.6689,432.4
465.96,2.6608,432.4
474.62,2.6123,454.7
476.10,2.6042,454.7
477.58,2.5961,454.7
479.07,2.5880,459.3
480.57,2.5799,463.9
482.09,2.5718,463.9
483.61,2.5637,468.6
485.14,2.5556,468.6
486.68,2.5475,478.2
488.23,2.5395,478.2
489.79,2.5314,478.2
491.36,2.5233,483.0
499.37,2.4828,507.9
501.00,2.4747,507.9
502.65,2.4666,502.8
504.30,2.4585,513.1
505.97,2.4504,513.1
507.64,2.4424,513.1
509.33,2.4343,518.3
511.03,2.4262,528.8
512.74,2.4181,528.8
514.46,2.4100,528.8
516.19,2.4019,528.8
517.94,2.3938,539.6
519.69,2.3857,534.2
528.66,2.3453,561.7
530.49,2.3372,567.4
532.33,2.3291,567.4
534.19,2.3210,567.4
536.06,2.3129,579.0
537.94,2.3048,579.0
539.83,2.2967,584.8
541.74,2.2886,584.8
543.67,2.2805,590.7
545.60,2.2724,596.7
547.55,2.2643,596.7
549.51,2.2563,596.7
561.60,2.2077,633.9
563.66,2.1996,627.5
565.75,2.1915,627.5
567.84,2.1834,633.9
569.95,2.1753,640.3
572.08,2.1672,640.3
574.23,2.1592,640.3
576.39,2.1511,646.8
578.56,2.1430,646.8
580.76,2.1349,659.9
582.97,2.1268,659.9
585.19,2.1187,659.9
598.92,2.0701,687.0
601.27,2.0621,687.0
603.63,2.0540,694.0
606.02,2.0459,694.0
608.43,2.0378,694.0
610.85,2.0297,701.0
613.30,2.0216,708.1
615.76,2.0135,708.1
618.25,2.0054,708.1
620.75,1.9973,715.3
623.28,1.9892,729.8
625.82,1.9811,729.8
638.87,1.9407,759.8
641.55,1.9326,759.8
644.24,1.9245,759.8
646.96,1.9164,767.5
649.71,1.9083,767.5
652.47,1.9002,775.2
655.26,1.8921,783.1
658.08,1.8840,783.1
660.92,1.8759,783.1
663.78,1.8679,799.0
666.67,1.8598,799.0
669.58,1.8517,807.1
672.52,1.8436,807.1
687.61,1.8031,857.4
690.71,1.7950,848.8
693.84,1.7869,857.4
696.99,1.7788,866.0
700.18,1.7708,866.0
703.39,1.7627,866.0
706.64,1.7546,883.6
709.91,1.7465,883.6
713.21,1.7384,883.6
716.55,1.7303,892.6
719.92,1.7222,910.7
723.31,1.7141,910.7
726.74,1.7060,892.6
744.40,1.6656,938.7
748.03,1.6575,929.3
751.70,1.6494,938.7
755.41,1.6413,948.2
759.15,1.6332,957.8
762.93,1.6251,957.8
766.75,1.6170,957.8
770.60,1.6089,957.8
774.50,1.6008,967.4
778.43,1.5927,967.4
782.41,1.5846,967.4
786.42,1.5766,967.4
815.73,1.5199,967.4
820.10,1.5118,967.4
824.51,1.5037,967.4
828.97,1.4956,967.4
833.48,1.4875,967.4
838.04,1.4795,967.4
842.65,1.4714,967.4
847.31,1.4633,967.4
852.02,1.4552,967.4
856.78,1.4471,967.4
861.60,1.4390,967.4
866.47,1.4309,967.4
896.90,1.3824,967.4
902.18,1.3743,967.4
907.53,1.3662,967.4
912.94,1.3581,967.4
918.41,1.3500,967.4
923.95,1.3419,967.4
929.55,1.3338,967.4
935.22,1.3257,967.4
940.97,1.3176,967.4
946.78,1.3095,967.4
952.67,1.3014,967.4
958.63,1.2934,967.4
1002.53,1.2367,967.4
1009.14,1.2286,967.4
1015.83,1.2205,967.4
1022.61,1.2124,967.4
1029.48,1.2043,967.4
1036.44,1.1963,967.4
1043.50,1.1882,967.4
1050.65,1.1801,967.4
1057.91,1.1720,967.4
1065.26,1.1639,967.4
1072.72,1.1558,967.4
1080.28,1.1477,967.4
1128.00,1.0992,967.4
1136.36,1.0911,967.4
1144.85,1.0830,967.4
1153.47,1.0749,967.4
1162.22,1.0668,967.4
1171.10,1.0587,967.4
1180.12,1.0506,967.4
1189.28,1.0425,967.4
1198.59,1.0344,967.4
1208.04,1.0263,967.4
1217.64,1.0182,967.4
